,Date,Open,Close,Change (%)
430,2017-06-15,5.08,5.3,+4.95%
431,2017-06-14,5.3,5.05,-4.72%
432,2017-06-13,5.3,5.3,+0.00%
433,2017-06-12,5.3,5.3,+0.00%
434,2017-06-09,5.3,5.3,+1.92%
435,2017-06-08,5.01,5.2,-1.52%
436,2017-06-07,5.3,5.28,+1.15%
437,2017-06-06,5.22,5.22,-0.38%
438,2017-06-05,5.31,5.24,-1.13%
439,2017-06-02,5.33,5.3,+0.19%
440,2017-06-01,5.31,5.29,-0.38%
441,2017-05-31,5.31,5.31,+0.00%
442,2017-05-30,5.35,5.31,+0.00%
443,2017-05-29,5.39,5.31,-0.75%
444,2017-05-26,5.4,5.35,-0.93%
445,2017-05-25,5.3,5.4,+0.37%
446,2017-05-24,5.36,5.38,+0.37%
447,2017-05-23,5.4,5.36,-0.74%
448,2017-05-22,5.4,5.4,+1.31%
449,2017-05-19,5.46,5.33,-1.3%
450,2017-05-18,5.33,5.4,-1.1%
451,2017-05-17,5.46,5.46,+0.00%
452,2017-05-16,5.46,5.46,+0.00%
453,2017-05-15,5.3,5.46,+2.06%
454,2017-05-12,5.46,5.35,+0.00%
455,2017-05-11,5.31,5.35,+0.75%
456,2017-05-11,5.31,5.35,+0.75%
457,2017-05-10,5.35,5.31,-1.3%
458,2017-05-09,5.4,5.38,-1.28%
459,2017-05-08,5.4,5.45,-0.91%
460,2017-05-05,5.5,5.5,+0.36%
461,2017-05-04,5.36,5.48,-0.36%
462,2017-05-03,5.42,5.5,+0.00%
463,2017-05-02,5.5,5.5,+0.00%
464,2017-05-01,5.4,5.5,+0.00%
465,2017-04-28,5.4,5.5,+0.00%
466,2017-04-27,5.4,5.5,+0.00%
467,2017-04-26,5.33,5.5,+3.19%
468,2017-04-25,5.31,5.33,+0.19%
469,2017-04-24,5.32,5.32,-3.27%
470,2017-04-21,5.59,5.5,+1.85%
471,2017-04-20,5.5,5.4,-1.82%
472,2017-04-19,5.55,5.5,+0.00%
473,2017-04-18,5.49,5.5,+1.85%
474,2017-04-17,5.39,5.4,+0.00%
475,2017-04-14,5.49,5.4,+0.00%
476,2017-04-13,5.49,5.4,+0.00%
477,2017-04-12,5.49,5.4,+1.12%
478,2017-04-11,5.31,5.34,+0.75%
479,2017-04-10,5.55,5.3,-2.75%
480,2017-04-07,5.4,5.45,+0.00%
481,2017-04-06,5.5,5.45,+3.81%
