,Date,Open,Close,Change (%)
134,2018-07-30,11.64,11.72,+0.17%
135,2018-07-27,11.28,11.7,+3.36%
136,2018-07-26,11.32,11.32,+0.00%
137,2018-07-25,11.38,11.32,+0.53%
138,2018-07-24,11.02,11.26,+2.18%
139,2018-07-23,11.0,11.02,+0.18%
140,2018-07-20,11.16,11.0,-1.43%
141,2018-07-19,11.0,11.16,+1.45%
142,2018-07-18,11.0,11.0,+0.18%
143,2018-07-17,10.9,10.98,-0.18%
144,2018-07-16,11.18,11.0,+0.00%
145,2018-07-13,10.98,11.0,+0.00%
146,2018-07-12,11.0,11.0,+0.00%
147,2018-07-11,10.92,11.0,+0.92%
148,2018-07-10,10.74,10.9,+1.11%
149,2018-07-09,11.0,10.78,-2.18%
150,2018-07-06,11.0,11.02,-0.36%
151,2018-07-05,11.1,11.06,-2.12%
152,2018-07-04,10.78,11.3,+3.48%
153,2018-07-03,10.64,10.92,+0.18%
154,2018-07-02,10.56,10.9,+3.81%
155,2018-06-29,10.42,10.5,-0.38%
156,2018-06-28,10.84,10.54,-3.3%
157,2018-06-27,10.26,10.9,+6.86%
158,2018-06-26,10.0,10.2,+3.34%
159,2018-06-25,10.2,9.87,-1.3%
160,2018-06-22,10.08,10.0,+0.10%
161,2018-06-21,10.2,9.99,-2.44%
162,2018-06-20,10.24,10.24,+0.00%
163,2018-06-19,10.46,10.24,-1.54%
164,2018-06-18,10.56,10.4,-3.17%
165,2018-06-15,10.7,10.74,+0.00%
166,2018-06-14,10.7,10.74,+0.37%
167,2018-06-13,11.2,10.7,-4.97%
168,2018-06-12,11.28,11.26,+0.00%
169,2018-06-11,11.28,11.26,+1.26%
170,2018-06-08,11.42,11.12,-2.28%
171,2018-06-07,10.84,11.38,+3.83%
172,2018-06-06,10.96,10.96,+0.00%
173,2018-06-05,10.82,10.96,+0.37%
174,2018-06-04,10.8,10.92,+0.18%
175,2018-06-01,10.74,10.9,+0.93%
176,2018-05-31,10.6,10.8,+1.89%
177,2018-05-30,10.78,10.6,-1.85%
178,2018-05-29,10.9,10.8,-0.37%
179,2018-05-28,10.82,10.84,+0.56%
180,2018-05-25,10.66,10.78,+1.13%
181,2018-05-24,10.24,10.66,+3.70%
182,2018-05-23,10.2,10.28,+1.18%
183,2018-05-22,10.32,10.16,-0.2%
184,2018-05-21,10.28,10.18,-0.59%
185,2018-05-18,10.24,10.24,+0.00%
186,2018-05-17,10.9,10.24,-5.19%
187,2018-05-16,11.1,10.8,-1.64%
188,2018-05-15,10.86,10.98,+2.62%
189,2018-05-14,10.5,10.7,+0.00%
190,2018-05-11,10.5,10.7,+3.08%
191,2018-05-10,10.2,10.38,+2.37%
192,2018-05-09,10.5,10.14,-3.06%
193,2018-05-09,10.5,10.14,-3.06%
194,2018-05-08,10.46,10.46,+1.55%
195,2018-05-07,10.98,10.3,-4.63%
196,2018-05-04,10.5,10.8,+3.85%
197,2018-05-03,10.88,10.4,-2.8%
198,2018-05-02,11.1,10.7,-3.08%
199,2018-05-01,11.6,11.04,+0.00%
200,2018-04-30,11.6,11.04,-4%
201,2018-04-27,11.5,11.5,+0.70%
202,2018-04-26,12.0,11.42,-5.46%
203,2018-04-25,12.2,12.08,-0.98%
204,2018-04-24,12.38,12.2,-1.45%
205,2018-04-23,12.2,12.38,+2.31%
206,2018-04-20,12.0,12.1,+0.83%
207,2018-04-19,12.0,12.0,-1.96%
208,2018-04-18,12.1,12.24,+1.16%
209,2018-04-17,12.16,12.1,-0.33%
210,2018-04-16,12.38,12.14,-1.78%
211,2018-04-13,12.74,12.36,-3.44%
212,2018-04-12,12.4,12.8,+3.56%
213,2018-04-11,12.32,12.36,+1.31%
214,2018-04-10,12.6,12.2,-2.09%
215,2018-04-09,12.5,12.46,+0.00%
216,2018-04-06,12.5,12.46,-1.42%
217,2018-04-05,12.5,12.64,+1.94%
218,2018-04-04,12.5,12.4,-2.21%
219,2018-04-03,12.68,12.68,+0.00%
220,2018-04-02,12.3,12.68,+4.28%
221,2018-03-30,12.32,12.16,+0.00%
222,2018-03-29,12.32,12.16,+0.00%
